attribute_label,corresponding_attribute_label,file_name
uri,"https://mrdata.usgs.gov/mrds",
record_id,dep_id,
name,name,Names
aliases,,
commodity,commod,Resource_detail
commodity,commod,Commodity
latitude,lat_dec,Coords
longitude,lon_dec,Coords
location,,
crs,NAD27,
country,country,Location
state_or_province,state_prov,Location
deposit_type,dep_tp,Deposits
grade_value,grd,Resource_detail
grade_unit,grd_units,Resource_detail
grade_year,yr,Resource_detail
tonnage_value,meas,Resources
tonnage_value,indic,Resources
tonnage_value,infer,Resources
tonnage_unit,units,Resources
tonnage_year,yr,Resources
mineral_form,ore,trimmed
mineral_form,gangue,trimmed
mineral_form,other_matl,trimmed
alteration,alteration,trimmed
concentration_process,conc_proc,trimmed
ore_control,ore_ctrl_text,Ore_control
host_rock_unit,hrock_unit,trimmed
host_rock_type,hrock_type,trimmed
associated_rock_unit,arock_unit,trimmed
associated_rock_type,arock_type,trimmed
structure,structure,trimmed
tectonic,tectonic,trimmed
discovered_year,disc_yr,trimmed
site_type,dev_st,Deposits